nctid	criterion	cluster
NCT02466152	Vasectomy with documentation of azoospermia.	15
NCT02466152	Male condom plus partner use of one of the contraceptive options: Contraceptive sub-dermal implant that meets the standard operating procedure (SOP) effectiveness criteria including a \<1% rate of failure per year, as stated in the product label; Intrauterine device or intrauterine system that meets the SOP effectiveness criteria including a \<1% rate of failure per year, as stated in the product label; Oral Contraceptive, either combined or progestogen alone, Injectable progestogen; Contraceptive vaginal ring; Percutaneous contraceptive patches. These allowed methods of contraception are only effective when used consistently, correctly and in accordance with the product label. The investigator is responsible for ensuring that subjects understand how to properly use these methods of contraception.	16
NCT02466152	A woman is eligible to participate if she is of non-reproductive potential, defined as:	15
NCT02466152	Postmenopausal (including all women over 60 years of age).	28
NCT02466152	Females with one of the following procedures documented and no plans to utilize assisted reproductive techniques (e.g., in vitro fertilization or donor embryo transfer): Bilateral tubal ligation or salpingectomy; Hysteroscopic tubal occlusion procedure with follow-up confirmation of bilateral tubal occlusion; Hysterectomy; Bilateral oophorectomy (surgical menopause) Note: A practical definition accepts menopause after 1 year without menses with an appropriate clinical profile (e.g., age appropriate, \>45 years, in the absence of hormone replacement therapy \[HRT\] or medical suppression of the menstrual cycle). In questionable cases for women \<60 years of age, a blood sample with simultaneous follicle stimulating hormone and estradiol falling into the central laboratory's postmenopausal reference range is confirmatory. Women \<60 years of age who are on HRT, wish to continue, and whose menopausal status is in doubt are required to use a highly-effective method to avoid pregnancy. Otherwise, they must discontinue HRT to allow confirmation of postmenopausal status before study enrollment. For most forms of HRT, at least 2 to 4 weeks will elapse between cessation of therapy and the blood draw; this interval depends on the type and dosage of HRT. Following confirmation of postmenopausal status, HRT may be resumed during the study without use of a highly-effective method to avoid pregnancy	16
NCT02466152	Capable of giving signed informed consent as described in Protocol which includes compliance with the requirements and restrictions listed in the consent form and in protocol.	22
NCT02466737	Written informed consent prior to beginning breast-conserving surgery, including expected cooperation of the patients for follow-up, must be obtained and documented according to the local regulatory requirements	22
NCT02466737	Histologically confirmed unilateral primary invasive carcinoma of the breast (core biopsy or open biopsy). Multifocal or multicentric tumors are allowed if breast-conserving surgery is planned	25
NCT02466737	Age at diagnosis at least 18 years	28
NCT02466737	Preoperative imaging techniques with estimated tumor size of \<5 cm (iT1/iT2 irrespective of hormone sensitivity or HER2 status)	15
NCT02466737	Clinically and sonographically tumor-free axilla prior to core biopsy (cN0/iN0)	15
NCT02466737	In cases with cN0 and iN+, a negative core biopsy or fine needle aspiration (FNA) biopsy of the sonographically suspected lymph node is required before randomization	15
NCT02466737	No clinical evidence for distant metastasis (M0)	15
NCT02466737	Planned breast-conserving surgery (R0 resection) with postoperative external whole-breast irradiation (conventional fractionation or hypofractionation)	15
NCT02473120	Woman aged superior to 18 years old	9
NCT02473120	Inform consent signed	22
NCT02473120	Metastatic breast cancer or loco-regionnaly advanced breast cancer	4
NCT02473120	Inoperable	15
NCT02473120	With an indication to treat with aromatase inhibitor	15
NCT02473120	Treatment with aromatase inhibitors innitiated at the inclusion or at least 6 months before inclusion with a stable disease	15
NCT02473120	Without precedent treatment or with treatment by chemotherapy/tamoxifen/faslodex or aromatase inhibitors in a adjuvant treatment and with a time frame of 2 years between last treatment with aromatase inhibitors and metastatic evolution	14
NCT02473120	Treatment by aromatase inhibitors alone or in combination with a targeted therapy (trastuzumab +/- pertuzumab, bevacizumab, everolimus)	14
NCT02474173	Patients must have histologically confirmed measurable or unmeasurable advanced or metastatic breast cancer for which standard curative measures do not exist or are no longer effective	25
NCT02474173	Measurable disease is defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded for non-nodal lesions and short axis for nodal lesions) as \>= 20 mm (\>= 2 cm) with conventional techniques or as \>= 10 mm (\>= 1 cm) with spiral computed tomography (CT) scan, magnetic resonance imaging (MRI), or calipers by clinical exam	15
NCT02474173	Primary and/or metastatic breast tumor must be negative for over-expression of estrogen and progesterone receptors; patients with weak estrogen receptor and/or progesterone receptor expression (\< 10% on immunohistochemistry \[IHC\]) will be eligible	0
NCT02474173	Primary and/or metastatic breast tumor must be negative for human epidermal growth factor receptor (HER-2/neu) over-expression based on immunohistochemistry (IHC) (0 or 1+, 2+ if fluorescence in-situ hybridization \[FISH\] test is negative) or FISH (HER2/copy number of centromere of chromosome 17 \[CEP17\] ratio \< 2.0 or \< 4 Her-2/neu signals per nucleus)	0
NCT02474173	Any number of prior therapies for metastatic breast cancer is allowed; patients with weakly estrogen receptor positive breast cancer who received any number of endocrine agents for metastatic breast cancer will also be eligible	4
NCT02474173	Prior taxane is allowed (as long as the patient is not experiencing grade \> 1 neuropathy and had no history of disease progression on a taxane therapy within 3 months prior to study enrollment)	14
NCT02474173	Eastern Cooperative Oncology Group (ECOG) performance status =\< 2 (Karnofsky \>= 60%)	6
NCT02474173	Life expectancy of greater than 12 weeks	2
NCT02474173	Leukocytes \>= 2,000/uL	15
NCT02474173	Absolute neutrophil count \>= 1,500/uL	15
NCT02474173	Platelets \>= 100,000/uL	15
NCT02474173	Total bilirubin less than or equal to the institution's upper limit of normal	23
NCT02474173	Aspartate aminotransferase (AST) (serum glutamic oxaloacetic transaminase \[SGOT\])/alanine aminotransferase (ALT) (serum glutamate pyruvate transaminase \[SGPT\]) =\< 2.5 x institutional upper limit of normal (except for patients with liver metastases in whom AST/ALT can be \< 5 x institutional upper limit of normal)	29
NCT02474173	Creatinine within normal institutional limits OR creatinine clearance \>= 50 mL/min for patients with creatinine levels above institutional normal	8
NCT02474173	Left ventricular ejection fraction of \> 50% on baseline echocardiography or multi-gated acquisition (MUGA) scan	15
NCT02474173	Corrected QT interval (QTc) of \< 480 milliseconds	15
NCT02474173	Female subjects with child bearing potential must have a negative pregnancy test at screening; child bearing potential is defined as sexually active patients with menses less than 1 year prior to enrollment, \< 65 years of age, have no history of oophorectomy or hysterectomy	7
NCT02474173	The effects of AT13387 on the developing human fetus are unknown; for this reason and because paclitaxel are known to be teratogenic; women of child-bearing potential and men must agree to use adequate contraception prior to study entry, for the duration of study participation and 3 months after completion of study treatment administration; adequate contraception includes methods such as oral contraceptives, double barrier method (condom plus spermicide or diaphragm), or abstaining from sexual intercourse; should a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study, she should inform her treating physician immediately	27
NCT02474173	Ability to understand and the willingness to sign a written informed consent document	17
NCT02475512	urinary incontinence, fecal incontinence or double incontinence	15
NCT02475512	depending on help for washing	15
NCT02475512	free of skin damage (without signs of pressure ulcers or IAD such as skin breakdown or redness)	15
NCT02480218	Postmenopausal female, age 65 and older	18
NCT02480218	No more than 14 weeks post surgical resection for early stage histologically confirmed hormone receptor positive (HR+) breast cancer (BC) (i.e., Tumour size 1-2, Node status 0-1, Metastasis 0). HR+ BC defined as \>1% positive cell staining	0
NCT02480218	Prescribed either tamoxifen, letrozole, or anastrozole	15
NCT02480218	Fluent in written and spoken English; \>grade 5 education; can read large print (with or without correction); can hear normal conversation (with or without a hearing aid)	15
NCT02480218	Capacity to provide informed consent	22
NCT02483234	Patients eligible for inclusion in this study have to fulfill all of the following criteria:	3
NCT02483234	Subjects taking DMARDs (e.g. MTX) are allowed to continue their medication if the dose is stable for at least 4 weeks before baseline and should remain on a stable dose up to Week	15
NCT02483234	Subjects who have previously been treated with TNFα inhibitors (investigational or approved) will be allowed entry into study after appropriate wash-out period prior to randomization PsA patients:	3
NCT02483234	Diagnosis of PsA classified by CASPAR criteria and with symptoms for at least 6 months with moderate to severe PsA who must have at Baseline ≥3 tender joints out of 78 and ≥3 swollen out of 76 (dactylitis of a digit counts as one joint each)	15
NCT02483234	Rheumatoid factor and anti-CCP antibodies negative at screening	15
NCT02483234	Subjects with PsA should have taken NSAIDs for at least 4 weeks prior to randomization with inadequate control of symptoms or at least one dose if stopped due to intolerance to NSAIDs	14
NCT02483234	Subjects taking corticosteroids must be on a stable dose of ≤10 mg/day prednisone or equivalent for at least 2 weeks before baseline and should remain on a stable dose up to Week 24 Psoriasis patients:	15
NCT02483234	moderate-to severe psoriasis (PASI \> 6)	15
NCT02483234	no diagnosis of PsA	15
NCT02483234	inflammatory and/or structural lesions and/or erosions in the MRI/HR-qCT scan	15
NCT02485119	Japanese subjects ≥ 20 years of age	28
NCT02485119	ECOG Performance Status of 0 to 1	6
NCT02485119	Life expectancy of at least 12 weeks	2
NCT02485119	Subjects with advanced, histologically or cytologically confirmed solid tumors, not amenable to any standard therapy, have no standard therapy available	25
NCT02485119	Subjects whose fresh or archival tumor tissues are available	15
NCT02485119	Measurable disease with at least one lesion that can be accurately measured in at least one dimension according to RECIST criteria (Version 1.1 or modified version)	10
NCT02485119	Adequate bone marrow, liver, and renal function	15
NCT02486848	Females in overall good health	15
NCT02486848	Age: 18 to 55	28
NCT02486848	Female pattern hair loss (Sinclair 2-4)	15
NCT02486848	Willing to have a mini dot tattoo placed in the target area of the scalp	15
NCT02486848	Willing to maintain the same hair style, color, shampoo and hair products use, and approximate hair length throughout the study	15
NCT02486848	Able to give informed consent	22
NCT02486848	Non-responder to 5% minoxidil as determined by the MX-IVD test i.e., low minoxidil metabolizer	15
NCT02486848	Able to comply with the study requirements for 24 consecutive weeks	15
NCT02486848	Willing to use an adequate method of birth control (if applicable)	16
NCT02486848	Negative urine pregnancy test	7
NCT02494206	Women 18-70 with unilateral stage I or II BCRL	15
NCT02494206	Volume difference of at least 300 mL between the normal and lymphedematous limb based on perometry evaluation	15
NCT02494206	BMI of 18-30	15
NCT02494206	No current evidence of breast cancer	4
NCT02494206	At least 6 months postop from axillary lymph node dissection	15
NCT02494752	Patients with congenital and acquired contour deformities of face requiring soft tissue augmentation .	3
NCT02494752	Must be 16-60 years of age	28
NCT02494752	Must be American Society of Anesthesiology (ASA) class 1 and 2	15
NCT02499367	Metastatic triple negative breast cancer with confirmation of Estrogen Receptor (ER) and HER2 negativity on a histological biopsy of a metastatic lesion	0
NCT02499367	18 years or older	28
NCT02499367	Metastatic lesion accessible for histological biopsy (Mandatory biopsies: pre-induction treatment, post-induction treatment, 6-weeks. Optional biopsies: 12-weeks, at progression, of irradiated site). The pre-induction treatment biopsy has to contain sufficient tumor content (≥100 tumor cells); subjects with samples that have insufficient tumor content will require re-biopsy prior to induction treatment. Interval between last treatment and pre-induction biopsy has to be at least 14 days	14
NCT02499367	One, two or three line(s) of chemotherapy for metastatic disease and with progression of disease on last treatment regimen	14
NCT02499367	Evaluable disease according to RECIST 1.1	10
NCT02499367	Metastatic lesion accessible for radiation with 1x20 Gray or 3x8 Gray	15
NCT02499367	Subjects with brain metastases are eligible if these are not symptomatic. Subjects who received prior treatment for brain metastases should be free of progression on magnetic resonance imaging (MRI) for at least 4 weeks after treatment is completed and prior to first dose of study drug administration. There must also be no requirement for immunosuppressive doses of systemic corticosteroids (\> 10 mg/day prednisone equivalents) for at least 2 weeks prior to study drug administration.	14
NCT02499367	WHO performance status of 0 or 1	6
NCT02499367	Adequate bone marrow function	15
NCT02499367	Adequate hepatic function	15
NCT02499367	Adequate renal function	15
NCT02499367	Signed written informed consent	17
NCT02499588	Subjects who are 18 years old and older.	9
NCT02499588	Subjects who agree to participate in the evaluation and who have signed the informed consent form.	5
NCT02499588	Subjects presenting with a stoma (ileostomy, colostomy or urostomy).	15
NCT02499588	Subjects for whom ConvaTec Moldable Technology™ per package insert, within the context of routine clinical care is used as the first long-term (within 7 days of ostomy surgery) system following surgery and who have intact peristomal skin (healthy or SACs L1).	15
NCT02500147	Healthy adolescent girls and young women 13 - 25 years old	9
NCT02500147	At least 2 years postmenarche	28
NCT02500147	With clinical hyperandrogenism and/or hyperandrogenemia, menstrual dysfunction (oligomenorrhea or amenorrhea) and exclusion of other known disorders. PCOS will be diagnosed using NIH 1990 criteria.	15
NCT02500758	No systemic diseases.	15
NCT02500758	Healthy skin on hands, without cuts or abrasions.	15
NCT02500758	Short and clean fingernails.	15
NCT02500758	No use of substances with antimicrobial action (e.g. medicated soaps or creams).	15
NCT02503059	Patients with moderate / severe psoriasis (with / without psoriatic arthritis,PAs) defined by: PASI(Psoriasis Area and Severity Index)\> 10 and / or BSA(Body Surface Area)\> 10% and / or DLQI(Dermatology Life Quality Index)\> 10	15
NCT02503059	PASI\> 10 and / or BSA(Body Surface Area)\> 10% and / or DLQI(Dermatology Life Quality Index)\> 10	15
NCT02503059	Over 60 years of age at the start of treatment	15
NCT02503059	Receiving etanercept at any time	15
NCT02503059	Available history in the Dermatology	15
NCT02505568	Participant had diagnosed of definite or probable intestinal Behcet's Disease (BD) prior to Screening	14
NCT02505568	Participant must have active intestinal BD, defined as; a) A baseline Disease Activity Index for intestinal Behcet's disease (DAIBD) score of greater than or equal to (\>=) 40; b) Endoscopy with evidence of active intestinal BD (defined as ulcerations in the ileum and/or colon). The endoscopy must have occurred within 3 months prior to baseline	15
NCT02505568	Must either be currently receiving treatment with, or have a history of having failed to respond to, or tolerate, at least 1 of the following therapies as assessed by treating physician: oral corticosteroids, 6-mercaptopurine (6-MP), azathioprine (AZA), or methotrexate (MTX). a) Have no response to oral corticosteroids within the preceding 18 months; b) Have no response to 6-MP, AZA or MTX within the preceding 5 years	15
NCT02505568	Prior to the baseline, the following conditions must be met: a) If receiving 6-MP, AZA, or MTX must have been receiving it for at least 12 weeks, and the dose must be stable for at least 4 weeks; b) If 6-MP, AZA, or MTX have been recently discontinued, they must have been stopped for at least 4 weeks; c) If receiving oral 5-aminosalicylate (5-ASA) compounds or oral corticosteroids, the dose must have been stable for at least 2 weeks; d) If oral 5-ASA compounds or oral corticosteroids have been recently discontinued, they must have been stopped for at least 2 weeks; e) If receiving cyclosporine, the dose must have been stable for at least 6 weeks; f) If cyclosporine have been recently discontinued, they must have been stopped for at least 6 weeks	14
NCT02505568	Participant must be medically stable on the basis of physical examination, medical history, vital signs and 12-lead electrocardiogram (ECG) performed at Screening. If there are abnormalities, they must be consistent with the underlying illness in the study population, or the participant may be included only if the investigator judge the abnormalities from normal to be not clinically significant or to be appropriate. This determination must be recorded in the participant's source documents by the investigator	15
NCT02506946	All: Healthy; between 14 and 25 years; at least 2 years postmenarche	15
NCT02506946	PCOS: Clinical hyperandrogenism and/or hyperandrogenemia, menstrual dysfunction (oligomenorrhea or amenorrhea) and exclusion of other known disorders. PCOS will be diagnosed using the NIH 1990 criteria.	15
NCT02506946	Controls: Regular menses; no clinical hyperandrogenism and/or hyperandrogenemia	15
NCT02507024	Registered in the Vasculitis Patient-Powered Research Network (V-PPRN)	15
NCT02507024	Patients greater than 18 years of age	28
NCT02507024	Diagnosis of ANCA-associated vasculitis including: Eosinophilic Granulomatosis with Polyangiitis (also called Churg-Strauss Syndrome), Granulomatosis with Polyangiitis (also called Wegener's granulomatosis or GPA), Microscopic Polyangiitis (MPA)	15
NCT02513472	Females or males, aged \>=18 years at the time of signing the informed consent form (ICF).	21
NCT02513472	mTNBC (confirmed from most recent tissue sample) meeting the following criteria:	15
NCT02513472	Estrogen receptor (ER) and progesterone receptor negative (a tumor is ER and/or progesterone receptor positive if at least 1 percent (%) of the cells examined have estrogen and/or progesterone receptors) and human epidermal growth factor receptor 2 (HER2) negative (defined as immunohistochemistry \[IHC\] less than (\<) 2+ or fluorescence in situ hybridization \[FISH\] negative).	0
NCT02513472	Previously treated with 0 to 2 lines of systemic anticancer therapy (cytotoxic or targeted anticancer agents) in the metastatic setting. Hormonal therapy and bone metastases treatment (example, bisphosphonates, denosumab, etc) are not considered forms of systemic anticancer therapy.	14
NCT02513472	Presence of measurable disease meeting the following criteria:	10
NCT02513472	At least 1 lesion of \>=10 millimeter (mm) in long axis diameter for nonlymph nodes or \>=15 mm in short axis diameter for lymph nodes that is serially measurable according to Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1) using computerized tomography (CT) or magnetic resonance imaging (MRI) or panoramic and close-up color photography.	24
NCT02513472	Lesions that have had radiotherapy must show subsequent radiographic evidence of increased size to be deemed a target lesion.	15
NCT02513472	Life expectancy of \>=3 months.	2
NCT02513472	Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 or	6
NCT02513472	6. Adequate renal function as evidenced by serum creatinine less than or equal to (\<=) 1.5 milligram per deciliter (mg/dL) or calculated creatinine clearance \>=50 millimeter per minute (mL/min) according to the Cockcroft and Gault formula.	8
NCT02513472	Adequate bone marrow function, defined as:	15
NCT02513472	Absolute neutrophil count (ANC) \>=1.5\	15
NCT02513472	10\^9/L.	15
NCT02513472	Hemoglobin (Hb) \>=10.0 gram per deciliter (g/dL) (can be corrected by growth factor or transfusion).	15
NCT02513472	Platelet count \>=100\	15
NCT02513472	10\^9/L.	15
NCT02513472	Adequate liver function, defined as:	15
NCT02513472	Total bilirubin \<=1.5\	12
NCT02513472	upper limit of normal (ULN).	23
NCT02513472	Alkaline phosphatase (ALP), alanine aminotransferase (ALT), and aspartate aminotransferase (AST) \<=3\	29
NCT02513472	ULN unless there are bone metastases, in which case liver specific alkaline phosphatase must be separated from the total and used to assess the liver function instead of the total alkaline phosphatase. ALT and AST \<= 5\	15
NCT02513472	ULN if participant has liver metastases.	29
NCT02513472	Resolution of all chemotherapy-related or radiation-related toxicities to Grade 1 severity or lower, except for stable sensory neuropathy (\<= Grade 2) and alopecia.	15
NCT02513472	Archived tissue sample or new biopsy sample.	15
NCT02513472	Females must not be lactating or pregnant at Screening or Baseline (as documented by a negative beta-human chorionic gonadotropin \[B-hCG\] (or human chorionic gonadotropin \[hCG\]) test with a minimum sensitivity of 25 International units per litre (IU/L) or equivalent units of B-hCG \[or hCG\]). A separate baseline assessment is required if a negative screening pregnancy test was obtained more than 72 hours before the first dose of study drug.	7
NCT02513472	All females will be considered to be of childbearing potential unless they are postmenopausal (amenorrheic for at least 12 consecutive months, in the appropriate age group, and without other known or suspected cause) or have been sterilized surgically (that is, bilateral tubal ligation, total hysterectomy or bilateral oophorectomy, all with surgery at least 1 month before dosing).	15
NCT02513472	Females of childbearing potential must not have had unprotected sexual intercourse within 30 days before study entry and must agree to use a highly effective method of contraception (example, total abstinence, an intrauterine device, a double-barrier method \[such as condom plus diaphragm with spermicide\], a contraceptive implant, a combination oral contraceptive (estrogen/progesterone), or have a vasectomized partner with confirmed azoospermia) throughout the entire study period and for 120 days after study drug discontinuation. If currently abstinent, the participant must agree to use a double barrier method as described above if she becomes sexually active during the study period or for 120 days after study drug discontinuation. Females who are using hormonal contraceptives must have been on a stable dose of the same hormonal contraceptive product for at least 28 days before dosing and must continue to use the same contraceptive during the study and for 120 days after study drug discontinuation.	16
NCT02513472	Males who have had a successful vasectomy (confirmed azoospermia) or they and their female partners meet the criteria above (that is, not of childbearing potential or practicing highly effective contraception throughout the study period or for 120 days after study drug discontinuation). No sperm donation is allowed during the study period or for 120 days after study drug discontinuation.	16
NCT02513472	Willing and able to comply with all aspects of the treatment protocol.	15
NCT02513472	Provide written informed consent.	17
NCT02519322	Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form	22
NCT02519322	Patients must have histologically or cytologically confirmed stage IIIB/C or stage IV oligometastatic melanoma; oligometastatic melanoma is defined as three or fewer areas of resectable disease excluding central nervous system and bone involvement; patients with cutaneous, mucosal, acral, ocular or unknown primary melanomas are eligible for enrollment; for patients with stage IV disease with distant lymph nodes (stage M1a), a maximum of three separate lymph node sites fit the definition of oligometastatic disease; resectable tumors are defined as having no significant vascular, neural or bony involvement; only cases where a complete surgical resection with tumor-free margins can safely be achieved are defined as resectable	25
NCT02519322	Patients will have at least one melanoma deposit that can undergo serial biopsy (at least 2 time points) during the neoadjuvant phase of the protocol; patients must be willing to provide tumor samples at the time points specified in the Study Procedure Tables	3
NCT02519322	All patients must undergo a baseline tumor biopsy; in Arms A and B, tumor biopsy for PD-L1 testing (PD-L1 positivity is determined by greater than or equal to 1% of cells staining in the membrane by immunohistochemistry) is required for stratification; PD-L1 status is not required for enrollment on Arm C; the 28-8 clone for PD-L1 testing is required for assessment of PD-L1 status; for patients with stage IV disease, site of tumor biopsy will preferably be from non-lymph node disease site; for PD-L1 testing, the biopsy should contain sufficient tumor content (\> 100 tumor cells/4-micron tissue section); if a sample contains insufficient tumor content, a re-biopsy will be required to obtain a sample with sufficient tumor content prior to treatment	15
NCT02519322	Patients must be medically fit enough to undergo surgery as determined by the treating medical and surgical oncology team	3
NCT02519322	Patients who have been previously treated in the adjuvant setting for melanoma will be eligible for treatment after a 28 day wash-out period	3
NCT02519322	Patients must have measurable disease, defined by RECIST 1.1	10
NCT02519322	Age \>/= 18 years	28
NCT02519322	Eastern Cooperative Oncology Group (ECOG) performance status 0-1	6
NCT02519322	Absolute neutrophil count (ANC) \>= 1.5 X 10\^9/L (within 28 days of first study treatment)	15
NCT02519322	Hemoglobin \>= 8.5 g/dL (within 28 days of first study treatment)	14
NCT02519322	Platelets \>= 100 X 10\^9/L (\>= 60 for hepatocellular carcinoma \[HCC\]) (within 28 days of first study treatment)	15
NCT02519322	Prothrombin time (PT)/international normalized ratio (INR) and partial thromboplastin time (PTT) =\< 1.5 X upper limit of normal (ULN) (within 28 days of first study treatment)	1
NCT02519322	White blood cells (WBC) \>= 2.0 X 10\^9/L (within 28 days of first study treatment)	19
NCT02519322	Total bilirubin =\< 1.5 X ULN (except subjects with Gilbert's syndrome who must have normal direct bilirubin) \[3 mg/dL for HCC\] (within 28 days of first study treatment)	12
NCT02519322	Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) =\< 3.0 x upper limit of normal (ULN) (=\< 5 x ULN for HCC) (within 28 days of first study treatment)	29
NCT02519322	Albumin \>= 2.5 g/dL (within 28 days of first study treatment)	14
NCT02519322	Creatinine =\< 1.5 x ULN OR calculated creatinine clearance \>= 40 mL/min OR 24-hour urine creatinine clearance \>= 50 mL/min (within 28 days of first study treatment)	8
NCT02519322	Lipase \< 1.5 X ULN (within 28 days of first study treatment)	14
NCT02519322	Amylase \< 1.5 X ULN (within 28 days of first study treatment)	14
NCT02519322	Normal thyroid function (or stable on hormone supplementation) 0.27 - 10 X 10\^9/L (within 28 days of first study treatment)	14
NCT02519322	Left ventricular ejection fraction (LVEF) \>= 50% by transthoracic echocardiography (TTE) (preferred) or multigated acquisition (MUGA) within 6 months from first study drug administration	15
NCT02519322	Women are eligible to participate if: non-childbearing potential defined as pre-menopausal females with a documented tubal ligation or hysterectomy; or postmenopausal defined as 12 months of spontaneous amenorrhea (in questionable cases a blood sample with simultaneous follicle stimulating hormone \[FSH\] \> 40 MlU/mL and estradiol \< 40 pg/mL \[\< 140 pmol/L\] is confirmatory); females on hormone replacement therapy (HRT) and whose menopausal status is in doubt will be required to use one of the contraception methods if they wish to continue their HRT during the study; otherwise, they must discontinue HRT to allow confirmation of post-menopausal status prior to study enrollment; for most forms of HRT, at least 2-4 weeks will elapse between the cessation of therapy and the blood draw; this interval depends on the type and dosage of HRT; following confirmation of their post-menopausal status, they can resume use of HRT during the study without use of a contraceptive method	16
NCT02519322	A woman of childbearing potential (WOCBP) agrees to use method(s) of contraception; for a teratogenic study drug and/or when there is insufficient information to assess teratogenicity, a highly effective method(s) of contraception (failure rate of \< 1% per year) is required; the individual methods of contraception and duration should be determined in consultation with the investigator; WOCBP must follow instructions for birth control when the half-life of the study drug is \> 24 hours; contraception should be continued for a period of 30 days plus the time required for the study drug to undergo 5 half-lives; WOCBP should use an adequate method to avoid pregnancy for 24 weeks (30 days plus the time required for study drug to undergo 5 half-lives) after the last dose of study drug; WOCBP must have a negative serum or urine pregnancy test (minimum sensitivity 25 IU/L or equivalent units of human chorionic gonadotropin \[HCG\]) within 24 hours prior to the start of investigational product	16
NCT02519322	Women must not be breastfeeding	26
NCT02519322	Men who are sexually active with WOCBP must use any contraceptive method with a failure rate of \< 1% per year; the investigator shall review contraception methods and the time period that contraception must be followed; men who are sexually active with WOCBP must follow instructions for birth control when the half-life of the study drug is \> 24 hours, contraception should be continued for 90 days plus the time required for the study drug to undergo 5 half-lives; therefore, men who are sexually active with WOCBP must continue contraception for 33 weeks (90 days plus the time required for nivolumab and/or relatlimab to undergo 5 half-lives) after the last dose of study drug; in addition, male participants must be willing to refrain from sperm donation during this time; men who are sexually active with women who are not of childbearing potential (i.e., who are postmenopausal or surgically sterile and azoospermic men) do not require contraception	16
NCT02519322	For Arm C: Cardiac assessment at baseline by trans- thoracic echocardiogram (TTE) with LVEF 50%	15
NCT02519621	Presents with an existing chronic or traumatic wound, sub-acute or dehisced wound, partial-thickness burn, ulcer (such as a diabetic or pressure ulcer), flap or graft as diagnosed by a qualified and certified medical practitioner (M.D., D.O., or D.P.M)	15
NCT02519621	Wound presents with full thickness loss of epidermis and dermis	15
NCT02519621	The presentation of a wound that in the opinion of the investigators will require surgical debridement, and the wound is expected to be a good candidate for NPWT and eventual wound closure.	15
NCT02519621	ABI≥0.5 or toe pressures \>30 PVR/mmHg	15
NCT02519621	Subject is willing and able to abstain from partaking in any other form of treatment for his or her wound throughout the duration of his or her course of participation in the clinical study, other than the study procedures described herein.	15
NCT02519621	18 years of age or older	28
NCT02521363	Patients with histologically confirmed invasive breast cancer that is: Triple negative (ER\<10%, PR\<10%, and HER2 0/1+ or 2+/FISH not amplified)	0
NCT02521363	Tumor size 2cm or greater; N any; M0	15
NCT02521363	Tumor size 1cm or greater; N any; M0 (Cohort 1)	15
NCT02521363	Tumor size 2cm or greater; N any; M0 (Cohort 2)	15
NCT02521363	Candidate for curative breast cancer surgery (Cohort 1 or 2)	4
NCT02521363	Candidate for neoadjuvant chemotherapy with a standard of care, anthracycline-based regimen (Cohort 2 preferred over Cohort 1)	14
NCT02521363	Age \>18 years of age	28
NCT02521363	ECOG performance status of ≤2	6
NCT02521363	Serum or urine pregnancy test negative within 2 weeks for women of childbearing potential.	7
NCT02521363	Willing and able to provide informed consent	22
NCT02523313	Stage IV melanoma arising from a primary cutaneous site or metastatic from an unknown primary site with no evidence of disease (NED) after surgery or radiation therapy (conducted within 8 weeks before enrolment)	25
NCT02523313	Signed written informed consent	17
NCT02523313	Known BRAF status	15
NCT02523313	Subjects must be willing and able to comply with scheduled visits, treatment schedule, laboratory testing, and other requirements of the study	15
NCT02523313	Minimum life expectancy of five years excluding their melanoma diagnosis	2
NCT02523313	ECOG performance status of 0 or 1	6
NCT02523313	Tumor tissue from the resected site of disease must be provided for biomarker analyses. In order to be randomized a subject must have a PD-L 1 expression classification (positive (≥ 5% tumor cells expressing PD-L1) or negative (\< 5% tumor cells expressing PD-L1)). If an insufficient amount of tumor tissue from the resected site is provided for analysis, acquisition of additional archived tumor tissue (block and/or slides) for the biomarker analyses is required.	15
NCT02523313	Prior radiotherapy must have been completed at least 2 weeks prior to study drug administration	14
NCT02523313	Required laboratory values	15
NCT02523313	Negative pregnancy test for female subjects and effective contraception (Pearl-Index \<1) for both male and female subjects if the risk of conception exists	18
NCT02524665	Capable of understanding and willing to provide signed and dated written voluntary informed consent (and any local or national authorization requirements) before any protocol specific procedures are performed.	22
NCT02524665	Male or female aged from 16 to 29 years, inclusive, at time of consent. No more than 50% of the subjects at each site can be enrolled under the age of	18
NCT02524665	3. Mild facial acne, characterized by at least 12 facial inflammatory lesions (papules and pustules) and/or noninflammatory lesions (open and closed comedones) on each half of the face (excluding nose and front hairline areas).	15
NCT02524665	Able to complete the study and to comply with study instructions.	15
NCT02524665	Sexually active females of childbearing potential participating in the study must agree to use a medically acceptable method of contraception while receiving protocol-assigned product. A woman of childbearing potential is defined as one who is biologically capable of becoming pregnant; including perimenopausal women who are less than 2 years from their last menses. Acceptable contraceptive methods include the following:	16
NCT02524665	Hormonal contraception, including oral, injectable, or implantable methods started at least 2 months prior to screening. If hormonal contraception was started less than 2 months prior to screening, then a form of nonhormonal contraception should be added until the third continuous month of hormonal contraception has been completed.	16
